  1.398E-03  1.207E+05
  1.468E-03  1.387E+05
  1.541E-03  1.590E+05
  1.619E-03  1.818E+05
  1.699E-03  2.073E+05
  1.784E-03  2.362E+05
  1.874E-03  2.690E+05
  1.967E-03  3.066E+05
  2.066E-03  3.497E+05
  2.169E-03  3.992E+05
  2.277E-03  4.559E+05
  2.391E-03  5.209E+05
  2.511E-03  5.953E+05
  2.636E-03  6.803E+05
  2.768E-03  7.775E+05
  2.907E-03  8.883E+05
  3.052E-03  1.014E+06
  3.205E-03  1.157E+06
  3.365E-03  1.319E+06
  3.533E-03  1.502E+06
  3.710E-03  1.707E+06
  3.895E-03  1.937E+06
  4.090E-03  2.193E+06
  4.294E-03  2.477E+06
  4.509E-03  2.791E+06
  4.735E-03  3.135E+06
  4.971E-03  3.511E+06
  5.220E-03  3.920E+06
  5.481E-03  4.360E+06
  5.755E-03  4.833E+06
  6.043E-03  5.336E+06
  6.345E-03  5.869E+06
  6.662E-03  6.430E+06
  6.995E-03  7.015E+06
  7.345E-03  7.623E+06
  7.712E-03  8.250E+06
  8.098E-03  8.892E+06
  8.503E-03  9.547E+06
  8.928E-03  1.021E+07
  9.374E-03  1.088E+07
  9.843E-03  1.155E+07
  1.019E-02  1.203E+07
  1.054E-02  1.250E+07
  1.091E-02  1.298E+07
  1.130E-02  1.345E+07
  1.169E-02  1.392E+07
  1.210E-02  1.439E+07
  1.252E-02  1.486E+07
  1.296E-02  1.534E+07
  1.341E-02  1.581E+07
  1.388E-02  1.629E+07
  1.437E-02  1.677E+07
  1.487E-02  1.725E+07
  1.539E-02  1.773E+07
  1.593E-02  1.822E+07
  1.649E-02  1.870E+07
  1.707E-02  1.919E+07
  1.766E-02  1.968E+07
  1.828E-02  2.017E+07
  1.892E-02  2.066E+07
  1.959E-02  2.114E+07
  2.027E-02  2.162E+07
  2.098E-02  2.210E+07
  2.171E-02  2.258E+07
  2.247E-02  2.304E+07
  2.326E-02  2.351E+07
  2.408E-02  2.397E+07
  2.492E-02  2.442E+07
  2.579E-02  2.487E+07
  2.669E-02  2.532E+07
  2.763E-02  2.577E+07
  2.859E-02  2.622E+07
  2.959E-02  2.666E+07
  3.063E-02  2.710E+07
  3.170E-02  2.755E+07
  3.281E-02  2.800E+07
  3.396E-02  2.847E+07
  3.515E-02  2.894E+07
  3.638E-02  2.943E+07
  3.765E-02  2.993E+07
  3.897E-02  3.046E+07
  4.033E-02  3.101E+07
  4.175E-02  3.158E+07
  4.321E-02  3.219E+07
  4.472E-02  3.282E+07
  4.629E-02  3.350E+07
  4.790E-02  3.423E+07
  4.958E-02  3.500E+07
  5.132E-02  3.585E+07
  5.311E-02  3.677E+07
  5.497E-02  3.782E+07
  5.690E-02  3.900E+07
  5.889E-02  4.035E+07
  6.095E-02  4.132E+07
  6.308E-02  4.242E+07
  6.529E-02  4.386E+07
  6.757E-02  4.721E+07
  6.994E-02  4.666E+07
  7.239E-02  4.806E+07
  7.492E-02  4.993E+07
  7.754E-02  5.221E+07
  8.026E-02  5.494E+07
  8.307E-02  5.794E+07
  8.597E-02  6.087E+07
  8.898E-02  6.367E+07
  9.210E-02  6.734E+07
  9.532E-02  6.855E+07
  9.866E-02  7.080E+07
  1.006E-01  7.221E+07
  1.026E-01  7.365E+07
  1.047E-01  7.518E+07
  1.068E-01  7.678E+07
  1.089E-01  7.843E+07
  1.111E-01  8.014E+07
  1.133E-01  8.197E+07
  1.156E-01  8.437E+07
  1.179E-01  8.983E+07
  1.203E-01  1.079E+08
  1.227E-01  9.271E+07
  1.251E-01  8.877E+07
  1.276E-01  8.789E+07
  1.302E-01  8.763E+07
  1.328E-01  8.748E+07
  1.354E-01  8.740E+07
  1.381E-01  8.744E+07
  1.409E-01  8.761E+07
  1.437E-01  8.791E+07
  1.466E-01  8.833E+07
  1.495E-01  8.888E+07
  1.525E-01  8.953E+07
  1.556E-01  9.029E+07
  1.587E-01  9.114E+07
  1.619E-01  9.208E+07
  1.651E-01  9.311E+07
  1.684E-01  9.426E+07
  1.718E-01  9.545E+07
  1.752E-01  9.675E+07
  1.787E-01  9.817E+07
  1.823E-01  9.987E+07
  1.859E-01  1.029E+08
  1.896E-01  1.108E+08
  1.934E-01  1.046E+08
  1.973E-01  1.037E+08
  2.012E-01  1.039E+08
  2.053E-01  1.044E+08
  2.094E-01  1.048E+08
  2.136E-01  1.053E+08
  2.178E-01  1.060E+08
  2.222E-01  1.066E+08
  2.266E-01  1.073E+08
  2.312E-01  1.080E+08
  2.358E-01  1.088E+08
  2.405E-01  1.094E+08
  2.453E-01  1.101E+08
  2.502E-01  1.108E+08
  2.552E-01  1.116E+08
  2.603E-01  1.126E+08
  2.655E-01  1.143E+08
  2.709E-01  1.188E+08
  2.763E-01  1.152E+08
  2.818E-01  1.147E+08
  2.874E-01  1.149E+08
  2.932E-01  1.153E+08
  2.990E-01  1.158E+08
  3.050E-01  1.164E+08
  3.111E-01  1.171E+08
  3.173E-01  1.181E+08
  3.237E-01  1.192E+08
  3.302E-01  1.205E+08
  3.368E-01  1.219E+08
  3.435E-01  1.236E+08
  3.504E-01  1.260E+08
  3.574E-01  1.318E+08
  3.645E-01  1.480E+08
  3.718E-01  1.382E+08
  3.793E-01  1.276E+08
  3.868E-01  1.247E+08
  3.946E-01  1.232E+08
  4.025E-01  1.219E+08
  4.105E-01  1.207E+08
  4.187E-01  1.197E+08
  4.271E-01  1.190E+08
  4.357E-01  1.186E+08
  4.444E-01  1.175E+08
  4.533E-01  1.168E+08
  4.623E-01  1.167E+08
